序号,城市,代码,级别
225,儋州市,460400,地级市
226,重庆市,500000,地级市
227,成都市,510100,地级市
228,自贡市,510300,地级市
229,攀枝花市,510400,地级市
230,泸州市,510500,地级市
231,德阳市,510600,地级市
232,绵阳市,510700,地级市
233,广元市,510800,地级市
234,遂宁市,510900,地级市
235,内江市,511000,地级市
236,乐山市,511100,地级市
237,南充市,511300,地级市
238,眉山市,511400,地级市
239,宜宾市,511500,地级市
240,广安市,511600,地级市
241,达州市,511700,地级市
242,雅安市,511800,地级市
243,巴中市,511900,地级市
244,资阳市,512000,地级市
245,贵阳市,520100,地级市
246,六盘水市,520200,地级市
247,遵义市,520300,地级市
248,安顺市,520400,地级市
249,毕节市,520500,地级市
250,铜仁市,520600,地级市
251,昆明市,530100,地级市
252,曲靖市,530300,地级市
253,玉溪市,530400,地级市
254,保山市,530500,地级市
255,昭通市,530600,地级市
256,丽江市,530700,地级市
257,普洱市,530800,地级市
258,临沧市,530900,地级市
259,拉萨市,540100,地级市
260,日喀则市,540200,地级市
261,昌都市,540300,地级市
262,林芝市,540400,地级市
263,山南市,540500,地级市
264,那曲市,540600,地级市
265,西安市,610100,地级市
266,铜川市,610200,地级市
267,宝鸡市,610300,地级市
268,咸阳市,610400,地级市
269,渭南市,610500,地级市
270,延安市,610600,地级市
271,汉中市,610700,地级市
272,榆林市,610800,地级市
273,安康市,610900,地级市
274,商洛市,611000,地级市
275,兰州市,620100,地级市
276,嘉峪关市,620200,地级市
277,金昌市,620300,地级市
278,白银市,620400,地级市
279,天水市,620500,地级市
280,武威市,620600,地级市
281,张掖市,620700,地级市
282,平凉市,620800,地级市
283,酒泉市,620900,地级市
284,庆阳市,621000,地级市
285,定西市,621100,地级市
286,陇南市,621200,地级市
287,西宁市,630100,地级市
288,海东市,630200,地级市
289,银川市,640100,地级市
290,石嘴山市,640200,地级市
291,吴忠市,640300,地级市
292,固原市,640400,地级市
293,中卫市,640500,地级市
294,乌鲁木齐市,650100,地级市
295,克拉玛依市,650200,地级市
296,吐鲁番市,650400,地级市
297,哈密市,650500,地级市
